"educ" "cigpric" "white" "age" "income" "cigs" "restaurn"
"3" 12 57.664 1 58 30000 3 0
"11" 13.5 57.883 1 27 30000 10 0
"12" 12 60.288 1 24 20000 20 0
"13" 10 57.883 1 71 8500 30 0
"16" 12 60.071 1 29 20000 20 0
"18" 12 60.704 1 34 20000 30 0
"20" 10 60.324 0 48 30000 20 0
"26" 15 60.862 1 39 20000 12 1
"28" 12 60.823 1 29 30000 30 1
"32" 10 61.015 1 47 12500 30 1
"34" 10 61.667 1 62 30000 2 1
"36" 10 61.667 1 51 20000 35 1
"41" 18 60.862 1 32 30000 25 1
"44" 13.5 62.089 1 26 8500 15 1
"45" 10 61.744 1 30 20000 20 1
"47" 12 61.168 1 19 6500 20 1
"50" 10 60.555 1 69 30000 30 1
"52" 8 62.241 1 53 12500 20 1
"53" 6 61.705 1 38 6500 10 1
"54" 10 60.555 1 49 30000 20 1
"58" 12 61.207 1 32 20000 20 1
"62" 10 60.555 1 26 6500 20 1
"72" 12 61.053 1 50 30000 20 1
"74" 13.5 61.629 1 37 20000 60 1
"75" 12 61.744 0 40 30000 20 1
"76" 6 61.437 1 47 20000 3 1
"81" 13.5 60.9 1 50 30000 12 1
"87" 12 61.168 1 53 30000 20 1
"91" 18 61.782 1 31 20000 25 1
"93" 18 61.897 1 45 20000 40 1
"96" 13.5 61.859 0 35 12500 30 1
"104" 12 62.406 0 27 5500 13 1
"109" 8 60.823 1 19 12500 1 1
"115" 12 62.654 0 37 20000 20 1
"116" 13.5 62.159 0 40 30000 15 1
"124" 13.5 60.862 1 26 30000 20 1
"125" 10 61.092 1 64 20000 20 1
"127" 12 61.974 1 55 20000 40 1
"129" 15 61.207 1 42 20000 10 1
"133" 10 61.859 1 38 20000 20 1
"139" 12 61.475 1 36 12500 5 1
"141" 13.5 53.313 1 27 6500 40 0
"142" 13.5 55.185 1 28 4500 8 0
"144" 13.5 54.984 1 23 30000 15 0
"145" 12 53.969 1 19 12500 15 0
"147" 13.5 54.648 0 34 12500 20 0
"150" 16 66.587 1 51 30000 20 1
"151" 12 65.29 1 44 30000 30 1
"152" 12 65.29 1 29 20000 60 1
"159" 16 65.141 1 32 8500 40 1
"160" 13.5 66.437 1 53 30000 25 1
"162" 10 65.889 1 30 20000 30 1
"166" 12 68.184 1 22 12500 10 1
